	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.13,1772.22,20.19,307
28.13,1769.35,20.19,308
28.13,1776.53,20.12,309
28.12,1783.29,20.06,310
28.12,1784.11,19.94,311
28.12,1783.09,19.88,311
28.12,1784.11,19.81,312
28.12,1781.24,19.88,313
28.13,1773.04,19.94,314
28.13,1782.68,19.88,315
28.12,1786.57,19.75,315
28.12,1777.55,19.69,316
28.13,1786.37,19.56,317
28.12,1783.70,19.56,318
28.12,1785.34,19.62,319
28.12,1782.06,19.69,320
28.12,1779.19,19.69,320
28.13,1776.32,19.69,321
28.13,1772.43,19.62,322
28.13,1775.09,19.50,323
28.12,1786.57,19.50,324
28.12,1782.27,19.62,325
28.12,1781.04,19.62,325
28.13,1776.32,19.62,326
28.13,1776.32,19.56,327
28.13,1776.32,19.50,328
28.13,1772.84,19.44,329
28.14,1766.07,19.62,330
28.14,1769.35,20.31,330
28.14,1765.66,20.06,331
28.14,1766.89,19.88,332
28.14,1763.82,19.81,333
28.14,1764.84,19.75,334
28.14,1765.87,19.69,335
28.14,1765.25,19.69,335
28.14,1765.25,19.62,336
28.14,1767.51,19.56,337
28.14,1766.69,19.56,338
28.14,1765.66,19.56,339
28.14,1766.69,19.50,339
28.14,1768.33,19.44,340
28.13,1769.56,19.44,341
28.13,1770.58,19.38,342
28.14,1768.33,19.44,343
28.14,1768.33,19.44,344
28.14,1766.07,19.50,344
28.14,1766.69,19.50,345
28.14,1767.71,19.50,346
28.13,1769.76,19.44,347
28.13,1769.35,19.50,348
28.13,1769.35,19.50,349
28.13,1768.94,19.50,349
28.13,1767.92,19.56,350
28.14,1768.33,19.56,351
28.14,1765.87,19.56,352
28.14,1767.10,19.56,353
28.14,1765.87,19.62,354
28.14,1765.25,19.62,354
28.14,1767.51,19.56,355
28.14,1768.12,19.56,356
28.13,1777.35,19.56,357
28.12,1769.15,19.62,358
28.13,1769.35,19.69,359
28.14,1773.66,19.69,359
28.12,1784.52,19.62,360
28.12,1779.81,19.62,361
28.13,1772.84,19.62,362
28.12,1771.20,19.56,363
28.13,1769.76,19.56,363
28.14,1767.51,19.62,364
28.14,1767.30,19.69,365
28.14,1767.10,19.69,366
28.14,1765.25,19.75,367
28.14,1773.25,19.81,368
28.13,1776.53,19.75,368
28.13,1774.89,19.75,369
28.13,1774.27,19.62,370
28.13,1776.94,19.50,371
28.13,1776.94,19.44,372
28.13,1779.81,19.50,373
28.12,1775.50,19.38,373
28.12,1774.27,19.44,374
28.12,1781.45,19.56,375
28.13,1776.32,19.56,376
28.13,1779.19,19.56,377
28.12,1780.22,19.50,378
28.12,1777.76,19.50,378
28.13,1772.02,19.50,379
28.13,1776.12,19.50,380
28.12,1780.01,19.56,381
28.13,1776.53,19.62,382
28.13,1769.76,19.62,382
28.13,1770.38,19.62,383
28.12,1775.09,19.62,384
28.12,1778.38,19.56,385
28.12,1782.27,19.56,386
28.12,1778.17,19.56,387
28.12,1770.79,19.56,387
28.13,1777.76,19.50,388
28.12,1773.86,19.44,389
28.14,1766.89,20.50,390
28.13,1772.84,21.75,391
28.13,1769.97,22.19,392
28.14,1769.35,21.69,392
28.14,1764.43,21.50,393
28.14,1765.25,21.38,394
28.15,1758.49,21.19,395
28.14,1761.15,20.88,396
28.14,1763.00,20.69,397
28.14,1763.00,20.75,397
28.14,1763.41,20.62,398
28.14,1763.41,20.56,399
28.14,1768.33,20.50,400
28.13,1771.20,20.56,401
28.14,1761.15,20.50,402
28.14,1759.10,20.44,402
28.14,1757.26,20.31,403
28.14,1761.15,20.25,404
28.14,1761.77,20.19,405
28.14,1761.15,20.19,406
28.15,1760.74,20.19,406
28.14,1759.10,20.06,407
28.15,1760.95,20.12,408
28.14,1757.67,20.19,409
28.14,1758.69,20.06,410
28.14,1759.72,20.00,411
28.14,1758.49,19.94,411
28.14,1757.46,20.00,412
28.14,1761.97,19.94,413
28.14,1768.74,20.00,414
28.14,1763.61,19.94,415
28.14,1768.33,19.94,416
28.13,1774.89,19.94,416
28.13,1764.02,20.00,417
28.14,1762.59,20.00,418
28.14,1776.94,20.00,419
28.13,1773.45,20.12,420
28.13,1775.30,20.19,421
28.13,1769.76,20.19,421
28.13,1762.59,20.25,422
28.14,1764.23,20.25,423
28.14,1774.27,20.25,424
28.13,1768.94,20.31,425
28.14,1769.56,20.19,426
28.13,1776.12,20.12,426
28.12,1773.04,20.19,427
28.12,1767.10,20.31,428
28.14,1766.48,20.25,429
28.12,1778.17,20.31,430
28.13,1776.94,20.38,430
28.14,1765.46,20.38,431
28.14,1774.48,20.38,432
28.13,1771.40,20.44,433
28.13,1773.66,20.38,434
28.13,1774.48,20.38,435
28.13,1766.89,20.88,435
28.14,1767.10,20.69,436
28.14,1761.15,20.56,437
28.14,1760.33,20.56,438
28.14,1766.28,20.56,439
28.13,1771.40,20.38,440
28.13,1773.45,20.31,440
28.13,1772.43,20.25,441
28.13,1773.45,20.19,442
28.13,1773.66,20.12,443
28.13,1775.30,20.06,444
28.13,1775.91,20.00,445
28.13,1775.91,20.00,445
28.13,1776.32,19.94,446
28.13,1776.12,19.88,447
28.13,1775.50,19.81,448
28.13,1776.32,19.88,449
28.13,1776.53,19.88,449
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.14,1768.33,20.38,0
28.13,1770.38,20.56,1
28.13,1766.48,20.62,2
28.13,1771.20,20.50,3
28.13,1775.50,20.38,4
28.13,1778.78,20.31,5
28.12,1780.22,20.25,5
28.12,1783.09,20.19,6
28.12,1782.27,20.12,7
28.12,1789.03,20.06,8
28.11,1784.93,20.06,9
28.12,1783.29,20.00,10
28.12,1784.73,20.00,10
28.12,1783.09,19.94,11
28.12,1782.68,19.81,12
28.12,1781.65,19.81,13
28.12,1782.47,19.75,14
28.12,1782.88,19.62,15
28.12,1780.63,19.56,15
28.13,1779.19,19.50,16
28.13,1777.96,19.50,17
28.13,1777.76,19.44,18
28.13,1777.55,19.44,19
28.12,1777.96,19.38,19
28.13,1778.17,19.31,20
28.12,1778.78,19.31,21
28.12,1777.96,19.31,22
28.12,1777.55,19.25,23
28.13,1776.94,19.25,24
28.13,1776.94,19.25,24
28.13,1775.91,19.25,25
28.13,1775.30,19.19,26
28.13,1774.27,19.12,27
28.13,1772.63,19.12,28
28.13,1767.10,19.19,29
28.14,1768.12,19.12,29
28.13,1768.94,19.06,30
28.15,1756.85,19.12,31
28.15,1758.08,19.12,32
28.15,1755.00,19.12,33
28.14,1768.53,19.19,34
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.13,1772.22,19.69,0
28.13,1777.96,19.69,1
28.12,1782.06,19.69,2
28.12,1782.68,19.62,3
28.12,1782.27,19.62,4
28.12,1782.68,19.62,4
28.12,1786.16,19.62,5
28.12,1786.78,19.62,6
28.12,1784.73,19.62,7
28.12,1784.11,19.62,8
28.12,1784.93,19.56,9
28.12,1785.96,19.56,9
28.12,1783.70,19.56,10
28.12,1783.70,19.56,11
28.12,1788.83,19.50,12
28.09,1817.32,19.56,13
28.09,1814.86,19.75,14
28.09,1813.22,19.81,14
28.09,1808.92,19.94,15
28.09,1804.41,20.00,16
28.10,1801.33,20.12,17
28.10,1798.26,20.25,18
28.10,1798.05,20.25,19
28.10,1796.00,20.38,19
28.11,1794.36,20.44,20
28.11,1794.77,20.50,21
28.11,1796.41,20.50,22
28.11,1794.77,20.62,23
28.11,1796.21,20.62,24
28.11,1793.34,20.75,24
28.11,1795.80,20.81,25
28.11,1795.80,20.81,26
28.11,1793.95,20.94,27
28.11,1793.54,21.00,28
28.11,1790.26,21.06,28
28.12,1781.24,21.12,29
28.12,1781.65,21.06,30
28.12,1785.75,21.00,31
28.12,1788.62,20.88,32
28.12,1787.19,20.81,33
28.12,1787.39,20.75,33
28.12,1792.11,20.69,34
28.10,1804.00,20.69,35
28.12,1786.98,20.88,36
28.12,1789.85,20.81,37
28.11,1792.31,20.75,38
28.11,1793.13,20.62,38
28.11,1791.29,20.56,39
28.11,1791.08,20.50,40
28.11,1793.75,20.44,41
28.12,1781.86,20.56,42
28.13,1779.81,20.56,43
28.12,1782.68,20.44,43
28.12,1785.14,20.31,44
28.12,1782.68,20.19,45
28.13,1777.76,20.25,46
28.13,1776.32,20.31,47
28.13,1777.96,20.25,48
28.13,1778.38,20.19,48
28.12,1779.60,20.12,49
28.12,1780.22,20.00,50
28.12,1785.14,19.88,51
28.12,1780.01,19.81,52
28.13,1776.94,20.00,52
28.12,1785.14,20.06,53
28.12,1786.78,20.19,54
28.12,1785.14,20.38,55
28.12,1785.75,20.50,56
28.12,1784.73,20.62,57
28.12,1784.11,20.75,57
28.12,1784.93,20.81,58
28.12,1785.34,20.94,59
28.12,1784.11,21.06,60
28.12,1786.78,21.12,61
28.11,1792.11,21.25,62
28.11,1788.62,21.38,62
28.12,1787.60,21.38,63
28.11,1790.88,21.50,64
28.12,1783.09,21.56,65
28.12,1779.19,21.69,66
28.13,1777.55,21.81,67
28.13,1776.53,21.88,67
28.13,1776.94,22.00,68
28.13,1776.53,22.12,69
28.13,1778.38,22.19,70
28.13,1777.96,22.25,71
28.12,1787.80,22.31,72
28.11,1798.26,22.38,72
28.11,1792.93,22.50,73
28.11,1797.44,22.50,74
28.12,1784.11,22.19,75
28.11,1789.65,21.75,76
28.11,1792.31,21.31,76
28.10,1794.57,20.81,77
28.10,1813.63,20.44,78
28.07,1836.59,20.12,79
28.07,1831.06,19.75,80
28.06,1843.15,19.19,81
28.05,1851.56,18.75,81
28.05,1850.94,18.31,82
28.05,1856.07,17.88,83
28.04,1862.63,17.50,84
28.04,1854.43,17.12,85
28.05,1846.43,16.75,86
28.06,1838.85,16.44,86
28.07,1836.59,16.19,87
28.07,1838.23,15.94,88
28.06,1836.80,15.81,89
28.06,1842.74,15.69,90
28.06,1837.21,15.56,91
28.06,1838.23,15.44,91
28.06,1826.55,15.44,92
28.08,1813.84,15.31,93
28.08,1824.91,15.31,94
28.08,1823.88,15.25,95
28.09,1803.38,15.25,96
28.10,1800.92,15.12,96
28.10,1790.26,15.06,97
28.12,1779.19,14.94,98
28.12,1779.60,14.94,99
28.12,1781.45,14.94,100
28.12,1782.27,14.88,100
28.12,1781.04,14.94,101
28.12,1781.45,14.88,102
28.12,1782.27,14.88,103
28.12,1781.45,14.88,104
28.12,1782.68,14.81,105
28.12,1782.27,14.81,105
28.12,1783.50,14.81,106
28.12,1784.73,14.75,107
28.12,1785.75,14.75,108
28.12,1785.14,14.75,109
28.12,1783.50,14.75,110
28.12,1782.88,14.75,110
28.12,1783.09,14.75,111
28.12,1784.93,14.69,112
28.12,1783.70,14.69,113
28.12,1784.11,14.69,114
28.12,1784.32,14.69,115
28.12,1785.96,14.62,115
28.12,1785.55,14.62,116
28.12,1786.37,14.62,117
28.12,1785.96,14.62,118
28.12,1785.34,14.62,119
28.12,1786.98,14.56,120
28.12,1785.75,14.56,120
28.12,1786.16,14.56,121
28.12,1787.80,14.50,122
28.12,1785.96,14.56,123
28.12,1784.11,14.56,124
28.12,1785.96,14.50,124
28.12,1785.96,14.50,125
28.12,1787.60,14.50,126
28.12,1787.39,14.50,127
28.12,1786.16,14.50,128
28.12,1785.55,14.50,129
28.12,1785.75,14.44,129
28.12,1786.57,14.44,130
28.12,1785.14,14.44,131
28.12,1785.55,14.44,132
28.12,1785.14,14.44,133
28.12,1785.75,14.38,134
28.12,1784.73,14.44,134
28.12,1783.70,14.44,135
28.12,1784.11,14.44,136
28.12,1781.45,14.44,137
28.12,1781.24,14.44,138
28.12,1782.47,14.38,139
28.12,1781.65,14.44,139
28.12,1781.65,14.38,140
28.12,1782.27,14.38,141
28.12,1779.60,14.44,142
28.12,1780.83,14.38,143
28.12,1782.68,14.38,144
28.12,1783.29,14.31,144
28.12,1784.11,14.31,145
28.12,1782.47,14.31,146
28.12,1783.91,14.31,147
28.12,1782.68,14.31,148
28.12,1781.45,14.31,148
28.12,1781.24,14.31,149
28.12,1781.04,14.31,150
28.12,1780.01,14.31,151
28.12,1780.83,14.31,152
28.12,1780.63,14.31,153
28.12,1781.86,14.25,153
28.12,1782.68,14.25,154
28.12,1782.47,14.25,155
28.12,1781.45,14.25,156
28.12,1780.42,14.25,157
28.12,1782.27,14.25,158
28.12,1781.86,14.25,158
28.12,1782.06,14.19,159
28.12,1780.01,14.25,160
28.13,1776.32,14.25,161
28.12,1785.55,14.19,162
28.12,1782.06,14.25,163
28.12,1795.80,14.25,163
28.11,1783.91,14.31,164
28.12,1789.44,14.38,165
28.12,1781.04,14.38,166
28.12,1780.63,14.38,167
28.12,1779.40,14.44,168
28.12,1780.22,14.44,168
28.12,1777.76,14.44,169
28.12,1780.01,14.44,170
28.12,1781.04,14.44,171
28.13,1776.94,14.44,172
28.13,1773.45,14.56,173
28.12,1782.27,14.69,173
28.13,1772.02,14.88,174
28.13,1768.94,14.94,175
