	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.11,1795.59,20.44,124
28.11,1796.82,20.31,125
28.11,1797.44,20.19,126
28.11,1798.46,20.12,126
28.11,1797.64,20.00,127
28.10,1800.51,19.88,128
28.10,1802.15,19.75,129
28.10,1800.92,19.75,130
28.10,1798.88,19.69,131
28.10,1797.85,19.62,131
28.10,1800.31,19.50,132
28.10,1799.90,19.38,133
28.10,1798.26,19.38,134
28.11,1796.82,19.31,135
28.11,1798.46,19.25,136
28.11,1794.36,19.19,136
28.11,1795.80,19.12,137
28.11,1794.98,19.12,138
28.11,1796.41,19.00,139
28.11,1797.03,18.94,140
28.11,1797.44,18.81,141
28.11,1794.16,18.81,141
28.11,1795.39,18.75,142
28.11,1793.75,18.75,143
28.11,1796.00,18.69,144
28.11,1795.80,18.62,145
28.11,1796.00,18.62,146
28.11,1796.41,18.56,146
28.11,1796.21,18.50,147
28.11,1795.80,18.50,148
28.11,1794.57,18.50,149
28.11,1793.75,18.50,150
28.11,1794.57,18.44,150
28.11,-0.01,-0.06,151
28.12,1790.26,18.31,156
28.11,1794.36,18.31,157
28.11,1795.39,18.31,158
28.11,1795.80,18.31,159
28.11,1796.62,18.31,159
28.11,1797.03,18.25,160
28.10,1798.05,18.25,161
28.11,1797.03,18.19,162
28.10,1799.90,18.12,163
28.10,1798.26,18.19,164
28.10,1798.46,18.12,164
28.10,1800.92,18.06,165
28.10,1801.13,18.06,166
28.10,1799.69,18.00,167
28.10,1802.15,17.94,168
28.10,1799.49,17.94,169
28.10,1801.54,17.88,169
28.10,1802.15,17.88,170
28.10,1802.36,17.81,171
28.10,1800.10,17.75,172
28.10,1801.95,17.69,173
28.10,1801.33,17.69,174
28.10,1801.54,17.62,174
28.10,1802.36,17.56,175
28.10,1800.10,17.56,176
28.10,1799.49,17.62,177
28.10,1799.69,17.56,178
28.10,1796.62,17.62,179
28.11,1798.46,17.56,179
28.10,1798.05,17.56,180
28.10,1796.62,17.62,181
28.10,1798.46,17.62,182
28.10,1800.31,17.62,183
28.10,1800.92,17.56,183
28.10,1800.51,17.56,184
28.10,1799.90,17.50,185
28.10,1799.49,17.44,186
28.10,1799.28,17.38,187
28.10,1799.49,17.38,188
28.10,1799.49,17.38,188
28.10,1799.49,17.31,189
28.10,1798.05,17.31,190
28.10,1796.82,17.25,191
28.11,1796.82,17.19,192
28.11,1797.44,17.12,193
28.11,1797.03,17.06,193
28.11,1796.82,17.00,194
28.11,1796.00,17.00,195
28.11,1796.62,16.94,196
28.11,1796.41,16.88,197
28.11,1797.64,16.81,198
28.11,1796.62,16.81,198
28.11,1797.64,16.75,199
28.11,1798.46,16.69,200
28.11,1796.82,16.69,201
28.10,1797.64,16.62,202
28.10,1797.23,16.62,202
28.10,1797.64,16.56,203
28.10,1798.46,16.56,204
28.10,1798.46,16.56,205
28.10,1798.46,16.50,206
28.10,1797.85,16.50,207
28.11,1798.05,16.44,207
28.11,1796.82,16.44,208
28.10,1797.85,16.38,209
28.10,1797.64,16.38,210
28.10,1800.51,16.31,211
28.11,1789.85,16.31,212
28.11,1790.06,16.31,212
28.11,1791.49,16.31,213
28.11,1794.16,16.38,214
28.11,1785.14,16.38,215
28.11,1789.85,16.38,216
28.11,1789.03,16.38,217
28.10,1784.52,16.44,217
28.12,1798.46,16.50,218
28.12,1779.60,16.56,219
28.12,1782.88,16.56,220
28.12,1792.31,16.62,221
28.12,1784.32,16.69,222
28.12,1779.60,16.75,222
28.12,1783.09,16.69,223
28.12,1785.14,16.69,224
28.12,1778.58,16.75,225
28.13,1776.53,17.12,226
28.13,1776.94,17.31,226
28.12,1787.19,17.50,227
28.13,1784.73,17.25,228
28.12,1776.94,17.06,229
28.12,1775.09,17.00,230
28.12,1783.70,16.94,231
28.12,1780.42,16.81,231
28.12,1779.19,16.94,232
28.13,1782.06,17.62,233
28.12,1776.32,17.50,234
28.12,1770.17,17.38,235
28.13,1775.09,17.81,236
28.13,1770.99,17.75,236
28.13,1767.51,17.75,237
28.14,1767.51,17.81,238
28.14,1767.10,17.81,239
28.14,1768.33,17.75,240
28.14,1767.51,17.81,241
28.13,1769.76,17.81,241
28.13,1773.45,17.75,242
28.12,1787.39,17.62,243
28.12,1790.47,17.69,244
28.12,1791.49,17.81,245
28.11,1795.80,17.81,246
28.11,1790.06,17.81,246
28.11,1794.77,17.81,247
28.11,1796.62,17.69,248
28.11,1799.69,17.62,249
28.11,1798.46,17.56,250
28.10,1798.46,17.50,250
28.10,1797.64,17.50,251
28.11,1797.03,17.44,252
28.11,1788.21,17.38,253
28.11,1782.68,17.38,254
28.11,1792.31,17.38,255
28.11,1792.72,17.31,255
28.11,1793.34,17.25,256
28.11,1792.11,17.25,257
28.10,1785.96,17.31,258
28.11,1802.36,17.25,259
28.12,1790.47,17.25,260
28.10,1786.78,17.25,260
28.11,1795.39,17.19,261
28.11,1788.62,17.19,262
28.11,1789.85,17.19,263
28.11,1790.06,17.19,264
28.12,1795.39,17.12,265
28.11,1785.14,17.19,265
28.10,1790.67,17.12,266
28.12,1796.62,17.19,267
28.11,1787.19,17.19,268
28.10,1786.78,17.19,269
28.11,1794.98,17.12,269
28.12,1793.34,17.12,270
28.12,1776.53,17.75,271
28.13,1772.43,18.31,272
28.13,1784.73,18.12,273
28.12,1784.32,17.94,274
28.12,1783.50,17.75,274
28.11,1794.98,17.56,275
28.11,1792.31,17.44,276
28.11,1789.85,17.44,277
28.11,1789.65,17.38,278
28.11,1787.39,17.38,279
28.12,1787.19,17.38,279
28.12,1788.21,17.38,280
28.11,1785.55,17.38,281
28.12,1782.47,17.38,282
28.12,1790.26,17.31,283
28.11,1781.24,17.38,284
28.12,1784.52,17.44,284
28.12,1787.19,17.56,285
28.12,1789.44,17.56,286
28.11,1787.80,17.56,287
28.12,1785.96,17.56,288
28.12,1771.20,18.81,289
28.14,1761.36,19.88,289
28.14,1766.28,20.38,290
28.13,1775.50,20.50,291
28.12,1780.01,20.00,292
28.12,1782.68,19.31,293
28.12,1784.32,18.81,293
28.12,1785.14,18.50,294
28.12,1776.32,18.44,295
28.12,1784.32,18.44,296
28.12,1785.75,18.69,297
28.12,1789.03,19.25,298
28.11,1792.52,19.00,298
28.11,1794.98,18.69,299
28.11,1800.92,18.56,300
28.11,1792.31,18.50,301
28.12,1790.67,18.44,302
28.12,1787.19,18.38,303
28.11,1785.14,18.38,303
28.12,1786.78,18.31,304
28.12,1785.14,18.12,305
28.12,1787.39,18.19,306
28.12,1786.57,18.25,307
28.11,1788.42,18.25,308
28.11,1790.06,18.25,308
28.11,1791.29,18.19,309
28.12,1784.52,18.19,310
28.12,1790.06,18.25,311
28.11,1792.31,18.12,312
28.11,1786.37,18.12,313
28.12,1785.34,18.06,313
28.12,1784.93,18.06,314
28.12,1784.73,18.06,315
28.12,1784.32,18.06,316
28.12,1785.14,18.06,317
28.12,1783.09,18.06,317
28.12,1782.68,18.12,318
28.12,1782.27,18.12,319
28.12,1783.29,18.12,320
28.12,1780.01,18.19,321
28.12,1780.42,18.19,322
28.12,1780.83,18.25,322
28.12,1780.83,18.25,323
28.12,1779.19,18.25,324
28.12,1781.24,18.25,325
28.12,1781.04,18.31,326
28.12,1780.63,18.31,327
28.12,1780.01,18.31,327
28.12,1781.86,18.25,328
28.12,1779.19,18.31,329
28.12,1779.19,18.31,330
28.12,1780.01,18.31,331
28.12,1779.60,18.31,332
28.12,1779.19,18.31,332
28.13,1778.99,18.31,333
28.12,1779.60,18.31,334
28.12,1780.42,18.25,335
28.12,1779.19,18.31,336
28.12,1779.19,18.31,336
28.12,1777.96,18.38,337
28.13,1778.38,18.38,338
28.13,1778.58,18.38,339
28.12,1778.38,18.38,340
28.12,1779.40,18.38,341
28.12,1778.99,18.38,341
28.12,1778.78,18.44,342
28.13,1777.55,18.50,343
28.13,1776.53,18.50,344
28.13,1776.53,18.56,345
28.13,1776.12,18.56,346
28.13,1775.91,18.62,346
28.13,1775.71,18.62,347
28.13,1776.94,18.62,348
28.13,1776.53,18.62,349
28.12,1778.38,18.62,350
28.12,1778.78,18.62,351
28.12,1779.60,18.56,351
28.12,1781.04,18.62,352
28.12,1778.99,18.62,353
28.12,1779.60,18.62,354
28.12,1781.65,18.62,355
28.12,1780.22,18.69,356
28.12,1779.40,18.69,356
28.12,1780.83,18.69,357
28.12,1782.47,18.69,358
28.12,1780.01,18.75,359
28.12,1780.01,18.81,360
28.12,1781.45,18.81,360
28.12,1779.19,18.81,361
28.12,1779.19,18.81,362
28.12,1779.19,18.88,363
28.12,1779.60,18.88,364
28.12,1779.19,18.94,365
28.12,1778.17,18.94,365
28.12,1779.60,18.94,366
28.12,1779.60,18.94,367
28.12,1779.60,18.94,368
28.12,1779.60,18.94,369
28.12,1780.01,18.94,370
28.12,1779.19,19.00,370
28.13,1778.78,19.00,371
28.12,1778.78,19.00,372
28.12,1778.58,19.06,373
28.12,1779.19,19.06,374
28.12,1779.19,19.00,375
28.12,1779.19,19.06,375
28.13,1778.38,19.06,376
28.12,1778.99,19.06,377
28.12,1778.78,19.06,378
28.12,1778.38,19.06,379
28.12,1778.38,19.06,380
28.13,1779.60,19.00,380
28.12,1777.76,19.06,381
28.13,1778.58,19.06,382
28.12,1777.96,19.06,383
28.13,1778.58,19.12,384
28.13,1778.17,19.12,384
28.12,1777.96,19.12,385
28.12,1783.09,19.12,386
28.12,1782.27,19.19,387
28.12,1780.63,19.12,388
28.12,1781.04,19.00,389
28.12,1782.47,18.94,389
28.12,1783.09,18.88,390
28.12,1784.93,18.94,391
28.12,1785.34,18.94,392
28.12,1785.55,18.94,393
28.12,1787.19,18.88,394
28.12,1782.47,18.88,394
28.12,1781.24,18.94,395
28.12,1782.68,18.94,396
28.12,1795.59,18.94,397
28.10,1801.95,18.94,398
28.10,1794.77,18.94,399
28.12,1785.14,19.06,399
28.11,1786.57,19.56,400
28.12,1792.52,19.81,401
28.11,1782.68,19.81,402
28.12,1789.24,20.00,403
28.12,1789.24,19.88,403
28.11,1782.27,19.69,404
28.12,1780.83,19.88,405
28.13,1776.53,20.00,406
28.13,1785.96,20.19,407
28.13,1783.29,20.25,408
28.12,1786.16,20.06,408
28.12,1785.34,19.88,409
28.12,1791.70,19.69,410
28.11,1791.49,19.50,411
28.11,1796.21,19.44,412
28.11,1794.98,19.44,413
28.11,1798.67,19.31,413
28.11,1794.16,19.31,414
28.11,1790.47,19.25,415
28.11,1791.90,19.25,416
28.11,1792.11,19.25,417
28.11,1794.77,19.19,418
28.09,1802.77,19.12,418
28.11,1791.70,19.31,419
28.11,1807.89,19.56,420
28.10,1797.85,19.81,421
28.11,1801.33,19.94,422
28.10,1796.82,20.06,423
28.10,1807.89,20.00,423
