Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s),Speed(MPH)
28.26,1649.63,12.44,167,23.08
28.26,1655.78,12.44,168,19.53
28.25,1662.75,12.38,169,21.79
28.24,1669.31,12.38,169,27.27
28.24,1671.37,12.31,170,24.05
28.22,1696.38,12.25,171,22.43
28.20,1711.34,12.38,172,19.85
28.19,1719.13,12.56,173,18.89
28.18,1719.95,12.62,173,25.01
28.18,1720.15,12.56,174,21.14
28.18,1735.53,12.69,175,25.34
28.17,1728.15,12.69,176,25.01
28.18,1711.75,12.62,177,34.04
28.21,1701.50,12.69,178,35.98
28.19,1705.60,12.69,178,25.01
28.20,1714.21,12.56,179,34.04
28.20,1695.96,12.50,180,29.53
28.21,1707.24,12.38,181,27.59
28.21,1713.18,12.50,182,22.11
28.18,1729.79,12.50,183,22.11
28.16,1738.81,12.31,183,18.24
28.18,1721.18,12.25,184,34.04
28.21,1697.81,12.38,185,30.82
28.22,1689.61,12.50,186,25.66
28.22,1700.47,12.44,187,22.43
28.19,1714.21,12.31,188,23.72
28.20,1709.08,12.25,188,27.59
28.20,1698.83,12.31,189,25.98
28.20,1702.93,12.31,190,25.66
28.20,1708.06,12.25,191,21.79
28.20,1708.26,12.12,192,31.46
28.20,1709.49,12.06,193,25.34
28.19,1723.02,12.06,193,22.11
28.18,1733.27,12.19,194,20.50
28.16,1754.18,12.31,195,24.05
28.15,1756.64,12.44,196,19.85
28.14,1765.66,12.56,197,27.27
28.15,1756.23,12.62,197,30.17
28.15,1764.43,12.56,198,27.27
28.13,1777.14,12.50,199,26.95
28.12,1781.65,12.50,200,17.92
28.12,1785.55,12.38,201,15.99
28.13,1757.46,12.25,202,29.53
28.17,1699.45,12.25,202,47.59
28.24,1653.94,12.19,203,48.55
28.26,1648.20,12.19,204,39.85
28.25,1673.62,12.25,205,23.40
28.22,1696.38,12.25,206,22.76
28.21,1697.60,12.25,207,20.50
28.21,1699.45,12.12,207,27.27
28.20,1702.93,12.06,208,24.05
28.20,1696.99,12.06,209,28.88
28.23,1666.85,12.19,210,29.53
28.26,1643.69,12.38,211,36.95
28.28,1630.57,12.50,212,35.66
28.28,1620.93,12.50,212,27.92
28.29,1618.27,12.44,213,29.85
28.28,1633.23,12.38,214,22.43
28.26,1651.07,12.50,215,30.17
28.27,1633.03,12.50,216,25.66
28.28,1632.62,12.38,217,20.50
28.27,1637.13,12.31,217,30.50
28.27,1640.41,12.25,218,16.95
28.26,1645.12,12.19,219,28.56
28.26,1646.97,12.19,220,29.53
28.26,1649.22,12.19,221,19.21
28.26,1653.53,12.12,222,23.72
28.25,1675.67,12.06,222,26.95
28.24,1674.64,12.25,223,19.53
28.22,1687.15,12.44,224,20.82
28.22,1680.79,12.56,225,25.66
28.24,1674.85,12.50,226,16.31
28.22,1694.53,12.38,226,14.70
28.21,1704.16,12.25,227,15.34
28.20,1704.37,12.19,228,20.18
28.20,1711.75,12.25,229,19.21
28.19,1718.51,12.19,230,17.92
28.18,1736.76,12.12,231,12.76
28.16,1739.42,12.12,231,26.63
28.17,1730.81,12.06,232,21.79
28.18,1725.28,12.12,233,27.59
28.18,1722.20,12.19,234,23.08
28.18,1726.10,12.12,235,22.43
28.17,1744.75,12.19,236,26.63
28.14,1765.66,12.31,236,15.02
28.14,1760.74,12.25,237,13.41
28.16,1732.25,12.19,238,22.43
28.19,1702.73,12.12,239,37.27
28.24,1650.66,12.31,240,42.75
28.26,1641.64,12.50,241,38.24
28.27,1645.33,12.50,241,27.27
28.25,1669.31,12.38,242,16.31
28.23,1682.43,12.25,243,16.95
28.22,1680.38,12.19,244,20.50
28.23,1672.80,12.12,245,25.98
28.24,1665.62,12.06,246,34.04
28.25,1651.27,12.12,246,30.50
28.26,1656.19,12.06,247,31.79
28.25,1655.38,12.12,248,25.98
28.25,1662.96,12.31,249,25.98
28.25,1645.94,12.44,250,27.92
28.26,1648.81,12.31,251,27.27
28.26,1643.07,12.25,251,32.75
